stateur,statemb,state,age,tenure,joblost,nwhite,school12,sex,bluecol,smsa,married,dkids,dykids,yrdispl,rr,head,ui,portfolio,derivatives,insurance,Sharpe
3.9,196,14,24,10,other,no,no,female,yes,no,no,no,no,4,0.5,yes,no,no,no,no,0.0
4.9,180,16,26,18,other,yes,no,female,yes,yes,yes,yes,no,4,0.5,no,yes,no,no,no,0.0
6.2,199,33,27,14,other,no,no,female,yes,yes,yes,yes,no,9,0.3445378,yes,yes,yes,yes,yes,0.6890756
8.9,147,31,25,1,slack_work,no,no,female,yes,yes,yes,yes,no,4,0.5,yes,yes,yes,yes,yes,1.0
5.7,184,31,24,22,position_abolished,no,no,female,yes,yes,yes,yes,no,9,0.282243,yes,no,no,no,no,0.0
4.9,180,16,29,1,seasonal_job_ended,yes,no,female,yes,yes,yes,yes,no,4,0.45,yes,yes,yes,yes,yes,0.9
11.0,179,35,25,3,other,no,no,female,yes,yes,no,yes,no,1,0.5,no,yes,yes,yes,yes,1.0
8.8,140,61,22,10,other,no,no,female,yes,no,yes,yes,no,6,0.3367089,yes,yes,no,no,no,0.0
8.4,206,53,22,1,slack_work,yes,no,female,yes,yes,no,yes,no,4,0.5629629,no,no,yes,yes,yes,1.1259258
3.4,140,45,23,1,slack_work,no,no,female,yes,no,no,no,no,10,0.5,no,no,no,no,no,0.0
5.2,146,13,29,3,other,no,no,female,yes,no,no,no,no,3,0.4980695,yes,yes,no,no,no,0.0
9.7,188,94,23,2,slack_work,yes,yes,female,yes,yes,yes,yes,no,4,0.2685714,yes,yes,yes,yes,yes,0.5371428
4.6,175,52,31,2,slack_work,no,no,female,yes,yes,no,no,no,4,0.54,no,yes,no,no,no,0.0
10.3,115,64,27,2,slack_work,no,no,female,yes,no,yes,yes,yes,4,0.2948718,yes,yes,yes,yes,yes,0.5897436
11.1,84,32,30,9,other,no,no,female,yes,yes,no,no,no,2,0.2592593,yes,yes,no,no,no,0.0
6.6,130,62,31,1,other,no,no,female,yes,no,yes,yes,yes,6,0.4174312,yes,yes,yes,yes,yes,0.8348624
5.9,182,74,32,3,slack_work,no,no,female,yes,yes,yes,yes,no,3,0.4541063,yes,no,no,no,no,0.0
6.7,188,94,33,2,slack_work,yes,no,female,yes,no,yes,yes,yes,8,0.1739594,yes,yes,yes,yes,yes,0.3479188
8.2,190,91,34,2,other,no,yes,female,yes,yes,yes,yes,yes,5,0.4986667,yes,no,yes,yes,yes,0.9973334
5.9,185,44,24,10,other,no,yes,female,yes,no,yes,yes,no,4,0.5,yes,yes,yes,yes,yes,1.0
5.7,160,43,20,2,position_abolished,no,yes,female,yes,yes,yes,yes,no,9,0.5019011,yes,yes,no,no,no,0.0
5.8,245,56,26,7,other,yes,yes,female,yes,yes,yes,yes,no,10,0.4981949,yes,yes,yes,yes,yes,0.9963898
5.9,200,59,25,10,slack_work,no,yes,female,yes,yes,yes,yes,no,9,0.313093,yes,yes,no,no,no,0.0
6.7,166,56,22,4,slack_work,no,no,female,yes,no,no,no,no,3,0.4980695,yes,yes,no,no,no,0.0
7.6,166,87,30,1,slack_work,no,no,female,yes,no,no,yes,yes,1,0.498008,yes,yes,yes,yes,yes,0.996016
6.4,196,31,24,5,other,no,yes,female,yes,no,no,yes,no,10,0.5023924,no,yes,no,no,no,0.0
11.1,84,32,20,4,other,no,no,female,yes,yes,no,yes,yes,2,0.2106481,yes,yes,yes,yes,yes,0.4212962
8.9,189,74,21,1,slack_work,no,no,female,yes,yes,no,yes,no,5,0.5188679,no,yes,no,no,no,0.0
6.9,172,14,20,32,other,no,no,female,yes,yes,no,no,no,2,0.4592593,yes,no,no,no,no,0.0
8.8,150,85,29,1,seasonal_job_ended,no,no,female,yes,no,no,yes,no,4,0.3125,yes,no,yes,yes,yes,0.625
7.5,210,93,22,1,slack_work,no,yes,female,yes,yes,no,yes,yes,10,0.3955696,no,yes,yes,yes,yes,0.7911392
3.8,207,14,20,7,other,no,no,female,yes,yes,no,no,no,5,0.3470086,yes,yes,no,no,no,0.0
5.1,260,41,30,2,other,no,no,female,yes,yes,no,yes,no,10,0.5,yes,yes,yes,yes,yes,1.0
13.0,225,55,27,1,slack_work,no,no,female,yes,no,no,yes,no,4,0.45,yes,yes,yes,yes,yes,0.9
4.3,129,45,24,5,other,no,no,female,yes,no,no,no,no,3,0.5024155,no,no,no,no,no,0.0
8.5,269,15,26,2,other,no,no,female,yes,yes,no,yes,yes,10,0.6007905,yes,no,yes,yes,yes,1.201581
8.6,145,64,36,1,slack_work,yes,yes,female,yes,no,yes,yes,no,10,0.4474708,yes,no,yes,yes,yes,0.8949416
4.3,176,54,20,9,other,yes,no,female,yes,yes,no,no,no,9,0.5208333,yes,no,no,no,no,0.0
9.0,161,33,26,10,slack_work,yes,no,female,yes,yes,no,no,no,4,0.46,yes,no,no,no,no,0.0
3.9,141,12,26,5,slack_work,no,no,female,yes,no,yes,yes,no,4,0.6227273,yes,no,yes,yes,yes,1.2454546
4.8,255,41,49,22,other,no,yes,female,yes,yes,yes,yes,no,9,0.5,yes,yes,no,no,no,0.0
8.9,115,58,31,4,slack_work,yes,no,female,yes,yes,yes,yes,no,1,0.4413793,yes,yes,no,no,no,0.0
5.9,215,52,25,1,other,no,no,female,yes,yes,yes,yes,no,10,0.5379747,yes,yes,no,no,no,0.0
5.4,200,83,25,3,position_abolished,no,yes,female,yes,no,yes,yes,no,9,0.313093,yes,no,yes,yes,yes,0.626186
9.7,188,94,42,2,slack_work,no,yes,female,yes,no,yes,yes,yes,4,0.1566667,yes,yes,yes,yes,yes,0.3133334
11.8,225,55,30,8,other,no,no,female,yes,no,yes,yes,no,5,0.3752122,yes,yes,yes,yes,yes,0.7504244
5.3,175,56,29,19,other,yes,no,female,yes,no,yes,yes,no,5,0.5018727,no,yes,yes,yes,yes,1.0037454
11.7,148,33,30,12,other,no,yes,female,yes,yes,yes,yes,no,1,0.3793103,yes,yes,yes,yes,yes,0.7586206
7.7,125,59,26,3,slack_work,no,no,female,yes,yes,yes,yes,no,1,0.4149254,yes,yes,no,no,no,0.0
7.2,260,21,20,8,slack_work,no,no,female,yes,yes,no,no,no,10,0.5022625,no,yes,no,no,no,0.0
6.4,196,31,27,3,position_abolished,no,no,female,yes,yes,yes,yes,no,10,0.3270042,yes,no,yes,yes,yes,0.6540084
7.4,166,81,41,1,seasonal_job_ended,no,no,female,yes,no,yes,yes,no,3,0.1107534,no,yes,no,no,no,0.0
7.7,147,74,26,1,other,no,no,female,yes,no,no,no,no,1,0.4895522,yes,no,no,no,no,0.0
7.3,196,35,29,1,slack_work,no,no,female,yes,yes,yes,yes,no,3,0.5,yes,yes,yes,yes,yes,1.0
7.9,181,72,22,13,position_abolished,yes,no,female,yes,yes,yes,yes,no,8,0.5192308,yes,no,no,no,no,0.0
8.8,197,34,24,1,other,no,yes,female,yes,yes,yes,yes,no,5,0.4269912,yes,yes,no,no,no,0.0
8.6,84,32,24,10,slack_work,no,no,female,yes,yes,yes,yes,no,3,0.231383,no,yes,no,no,no,0.0
13.7,90,63,54,3,other,no,no,female,yes,no,yes,yes,no,2,0.3592592,yes,yes,no,no,no,0.0
5.4,167,56,26,3,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.5,no,yes,yes,yes,yes,1.0
5.8,188,82,22,4,other,no,no,female,yes,no,no,no,no,7,0.342,yes,no,no,no,no,0.0
8.9,147,31,52,5,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.49,yes,yes,yes,yes,yes,0.98
5.0,159,54,53,2,slack_work,yes,no,female,yes,no,yes,yes,no,5,0.522293,no,yes,no,no,no,0.0
8.6,125,59,54,1,position_abolished,no,no,female,yes,yes,no,yes,no,2,0.5,no,no,yes,yes,yes,1.0
4.0,255,14,55,2,other,no,no,female,yes,yes,no,yes,no,8,0.5,yes,no,yes,yes,yes,1.0
6.2,217,74,56,5,position_abolished,no,no,female,yes,no,yes,yes,yes,9,0.4508816,yes,yes,yes,yes,yes,0.9017632
11.2,197,34,57,1,slack_work,no,no,female,yes,yes,yes,yes,no,3,0.4864865,no,yes,yes,yes,yes,0.972973
5.2,146,13,26,2,position_abolished,no,yes,female,yes,yes,yes,yes,yes,3,0.1457529,yes,yes,yes,yes,yes,0.2915058
5.7,203,22,33,17,slack_work,no,no,female,yes,yes,yes,yes,no,4,0.5970588,yes,yes,no,no,no,0.0
4.3,141,12,27,4,other,no,no,female,yes,no,yes,yes,no,3,0.625,no,yes,yes,yes,yes,1.25
6.9,291,23,47,13,other,no,no,female,yes,yes,yes,yes,no,10,0.520362,yes,yes,no,no,no,0.0
11.6,84,32,24,11,position_abolished,no,no,female,yes,no,yes,yes,no,1,0.2554348,yes,yes,yes,yes,yes,0.5108696
6.2,125,57,23,2,slack_work,no,no,female,yes,yes,no,no,no,5,0.5,no,yes,no,no,no,0.0
5.8,145,62,30,5,other,no,no,female,yes,yes,yes,yes,no,7,0.395,no,yes,no,no,no,0.0
10.4,196,35,49,4,slack_work,no,no,female,yes,no,yes,yes,yes,2,0.5,yes,yes,yes,yes,yes,1.0
7.2,159,82,29,2,slack_work,no,yes,female,yes,yes,yes,yes,no,3,0.1992754,yes,yes,yes,yes,yes,0.3985508
5.1,180,21,30,3,seasonal_job_ended,no,no,female,yes,yes,yes,yes,no,8,0.2113821,yes,no,no,no,no,0.0
6.9,125,86,30,12,position_abolished,no,no,female,yes,no,yes,yes,yes,5,0.5188679,yes,yes,yes,yes,yes,1.0377358
5.6,190,93,22,5,other,no,no,female,yes,yes,yes,yes,no,9,0.3951368,yes,yes,yes,yes,yes,0.7902736
8.5,125,21,26,14,other,no,no,female,yes,yes,yes,yes,no,1,0.5,no,yes,no,no,no,0.0
7.2,166,93,26,2,slack_work,no,no,female,yes,yes,no,no,no,4,0.39375,yes,no,no,no,no,0.0
6.0,156,16,20,5,slack_work,no,no,female,yes,no,no,yes,no,2,0.5,yes,yes,yes,yes,yes,1.0
8.0,224,23,27,2,slack_work,no,no,female,yes,yes,no,yes,no,4,0.5205882,no,yes,yes,yes,yes,1.0411764
5.4,280,23,23,3,position_abolished,no,no,female,yes,yes,no,no,no,9,0.5212121,yes,yes,no,no,no,0.0
7.0,189,74,28,1,other,no,no,female,yes,yes,no,no,no,4,0.52,no,no,no,no,no,0.0
7.6,140,52,27,1,slack_work,yes,no,female,yes,yes,no,no,no,1,0.5461538,no,yes,no,no,no,0.0
5.3,175,59,23,1,seasonal_job_ended,no,yes,female,yes,yes,yes,yes,yes,6,0.3896714,yes,no,yes,yes,yes,0.7793428
6.3,250,53,25,2,slack_work,yes,no,female,yes,yes,no,no,no,6,0.5208791,yes,no,no,no,no,0.0
5.8,198,54,27,1,other,no,no,female,yes,yes,yes,yes,yes,10,0.52,yes,no,yes,yes,yes,1.04
5.1,155,62,22,17,other,no,no,female,yes,yes,no,yes,no,8,0.3176471,yes,no,yes,yes,yes,0.6352942
7.2,159,82,30,2,other,no,yes,female,yes,no,yes,yes,no,3,0.4983923,yes,yes,no,no,no,0.0
7.1,181,72,27,3,other,yes,no,female,yes,yes,yes,yes,no,10,0.5214007,yes,yes,yes,yes,yes,1.0428014
7.2,105,43,24,1,other,no,no,female,yes,no,no,yes,yes,3,0.5865384,yes,no,yes,yes,yes,1.1730768
8.9,166,56,25,2,slack_work,yes,no,female,yes,yes,yes,yes,no,2,0.5,no,yes,yes,yes,yes,1.0
8.0,168,74,23,1,other,no,no,female,yes,yes,yes,yes,no,2,0.478836,yes,no,no,no,no,0.0
11.8,205,23,22,29,other,no,no,female,yes,yes,no,no,no,2,0.521605,no,yes,no,no,no,0.0
6.7,210,74,26,17,other,yes,no,female,yes,yes,yes,yes,no,8,0.5192308,yes,yes,yes,yes,yes,1.0384616
9.2,276,34,29,10,other,yes,no,female,yes,yes,no,no,no,10,0.5252809,yes,yes,no,no,no,0.0
5.7,241,23,29,4,other,no,yes,female,yes,yes,no,yes,no,6,0.4810127,yes,no,yes,yes,yes,0.9620254
8.7,179,82,24,1,slack_work,no,no,female,yes,yes,yes,yes,yes,5,0.5020408,yes,yes,yes,yes,yes,1.0040816
9.7,166,93,20,1,other,no,no,female,yes,yes,no,yes,yes,2,0.3935185,no,no,yes,yes,yes,0.787037
5.6,188,95,28,1,slack_work,yes,no,female,yes,no,no,yes,no,3,0.5206897,no,yes,yes,yes,yes,1.0413794
5.2,160,62,22,3,slack_work,no,no,female,yes,no,yes,yes,no,9,0.3367347,yes,yes,no,no,no,0.0
6.3,135,13,22,2,slack_work,no,no,female,yes,no,yes,yes,yes,1,0.5016611,yes,yes,yes,yes,yes,1.0033222
12.3,147,31,27,5,slack_work,no,no,female,yes,no,yes,yes,no,1,0.2352941,yes,no,yes,yes,yes,0.4705882
5.2,177,88,25,5,other,no,no,female,yes,yes,yes,yes,yes,7,0.4423077,no,no,yes,yes,yes,0.8846154
5.4,139,11,28,2,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.4633333,yes,yes,yes,yes,yes,0.9266666
6.1,133,11,23,19,slack_work,no,no,female,yes,no,yes,yes,no,3,0.5328186,yes,yes,no,no,no,0.0
7.0,147,31,27,3,position_abolished,no,no,female,yes,yes,yes,yes,yes,6,0.2286184,yes,yes,yes,yes,yes,0.4572368
9.8,149,88,24,2,slack_work,no,no,female,yes,no,yes,yes,yes,2,0.2981482,yes,yes,yes,yes,yes,0.5962964
6.6,291,22,21,7,position_abolished,yes,yes,female,yes,yes,yes,yes,no,10,0.2839506,yes,yes,no,no,no,0.0
5.3,175,56,26,1,other,no,yes,female,yes,yes,yes,yes,no,5,0.5,yes,no,yes,yes,yes,1.0
10.1,132,12,28,8,slack_work,no,no,female,yes,no,yes,yes,no,2,0.3010526,yes,no,yes,yes,yes,0.6021052
11.8,205,72,25,2,slack_work,yes,no,female,yes,no,yes,yes,no,2,0.5172414,yes,yes,yes,yes,yes,1.0344828
7.5,145,85,27,4,other,no,no,female,yes,yes,yes,yes,no,3,0.2895753,yes,no,yes,yes,yes,0.5791506
5.4,280,23,28,2,other,no,no,female,yes,yes,no,no,no,9,0.5215827,no,no,no,no,no,0.0
4.8,185,14,20,7,slack_work,no,no,female,yes,yes,yes,yes,yes,3,0.5,no,yes,yes,yes,yes,1.0
12.6,105,64,25,20,other,no,no,female,yes,no,yes,yes,no,2,0.4747899,yes,yes,yes,yes,yes,0.9495798
6.3,156,44,27,3,seasonal_job_ended,no,yes,female,yes,no,yes,yes,no,1,0.2227913,yes,no,no,no,no,0.0
5.5,169,31,27,11,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.2606383,yes,yes,yes,yes,yes,0.5212766
8.8,150,85,22,3,other,no,no,female,yes,no,yes,yes,yes,4,0.5,yes,yes,yes,yes,yes,1.0
6.3,156,44,30,1,slack_work,no,no,female,yes,no,yes,yes,yes,1,0.3901345,yes,yes,yes,yes,yes,0.780269
11.7,148,33,27,7,slack_work,no,no,female,yes,yes,yes,yes,no,1,0.3084112,no,yes,no,no,no,0.0
5.1,166,93,25,4,slack_work,yes,no,female,yes,yes,yes,yes,no,8,0.3070363,yes,no,yes,yes,yes,0.6140726
6.3,150,59,23,1,other,yes,yes,female,yes,yes,yes,yes,no,3,0.4982456,yes,yes,no,no,no,0.0
7.5,210,93,28,1,other,no,no,female,yes,yes,yes,yes,no,10,0.3924051,no,yes,yes,yes,yes,0.7848102
8.0,224,23,28,7,other,no,no,female,yes,yes,yes,yes,no,4,0.520115,yes,yes,yes,yes,yes,1.04023
5.9,186,87,23,1,other,yes,no,female,yes,yes,no,no,no,4,0.5017182,no,yes,no,no,no,0.0
3.5,156,12,25,2,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.3110599,yes,yes,no,no,no,0.0
9.0,282,14,26,4,slack_work,no,no,female,yes,yes,yes,yes,yes,10,0.5012658,yes,yes,yes,yes,yes,1.0025316
10.3,190,23,29,4,slack_work,no,no,female,yes,yes,no,no,no,1,0.5205128,no,yes,no,no,no,0.0
7.5,275,34,22,2,slack_work,no,yes,female,yes,no,yes,yes,yes,9,0.5242718,yes,yes,yes,yes,yes,1.0485436
5.8,188,82,27,1,other,no,no,female,yes,no,yes,yes,yes,7,0.5,no,no,yes,yes,yes,1.0
7.1,197,73,27,2,slack_work,no,no,female,yes,no,yes,yes,yes,4,0.52,yes,yes,yes,yes,yes,1.04
9.7,152,56,20,17,position_abolished,no,no,female,yes,no,yes,yes,no,1,0.5,no,yes,no,no,no,0.0
7.0,147,31,20,5,other,yes,no,female,yes,yes,yes,yes,yes,6,0.2550459,yes,yes,yes,yes,yes,0.5100918
7.7,147,74,22,11,other,no,no,female,yes,no,yes,yes,no,1,0.3710407,yes,yes,yes,yes,yes,0.7420814
7.5,275,34,26,5,position_abolished,no,no,female,yes,no,yes,yes,no,9,0.1373025,yes,yes,no,no,no,0.0
9.0,282,14,29,18,position_abolished,no,no,female,yes,yes,yes,yes,no,10,0.5013193,yes,yes,yes,yes,yes,1.0026386
6.8,232,23,26,9,other,no,no,female,yes,no,yes,yes,no,5,0.5215687,yes,no,yes,yes,yes,1.0431374
5.5,120,46,28,2,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.3157895,yes,yes,yes,yes,yes,0.631579
7.2,170,21,20,1,slack_work,no,no,female,yes,yes,no,no,no,3,0.3541248,yes,no,no,no,no,0.0
5.1,180,21,21,2,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.2396313,yes,yes,no,no,no,0.0
11.1,120,63,28,25,other,no,no,female,yes,yes,yes,yes,no,3,0.1996779,yes,yes,yes,yes,yes,0.3993558
9.0,192,83,22,4,other,no,no,female,yes,no,yes,yes,no,5,0.5203488,yes,yes,yes,yes,yes,1.0406976
9.9,225,55,29,8,other,no,no,female,yes,yes,yes,yes,no,7,0.5229358,no,yes,no,no,no,0.0
7.2,260,21,22,2,slack_work,yes,no,female,yes,yes,no,yes,no,10,0.5063291,yes,yes,yes,yes,yes,1.0126582
5.4,167,56,25,14,slack_work,no,no,female,yes,yes,no,no,no,4,0.5018182,yes,no,no,no,no,0.0
10.8,105,64,25,2,slack_work,yes,yes,female,yes,yes,no,yes,no,3,0.2845953,yes,no,yes,yes,yes,0.5691906
8.6,125,59,27,30,slack_work,yes,no,female,yes,yes,yes,yes,no,2,0.5,yes,yes,no,no,no,0.0
7.3,225,59,27,5,slack_work,no,no,female,yes,yes,yes,yes,no,10,0.5046729,no,yes,yes,yes,yes,1.0093458
4.1,240,15,24,2,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.6025641,no,no,no,no,no,0.0
7.0,185,73,25,1,slack_work,no,no,female,yes,no,yes,yes,no,3,0.5147453,yes,yes,yes,yes,yes,1.0294906
6.2,175,57,23,2,slack_work,no,no,female,yes,yes,no,no,no,10,0.5,yes,yes,no,no,no,0.0
6.3,149,47,21,1,slack_work,no,no,female,yes,no,yes,yes,no,1,0.552,no,yes,no,no,no,0.0
5.9,200,59,22,3,seasonal_job_ended,no,no,female,yes,yes,no,no,no,9,0.4459459,no,yes,no,no,no,0.0
4.1,198,44,21,1,seasonal_job_ended,yes,yes,female,yes,no,no,yes,no,10,0.3988095,no,yes,no,no,no,0.0
13.0,225,55,20,11,slack_work,no,no,female,yes,no,yes,yes,no,4,0.5,yes,yes,yes,yes,yes,1.0
13.0,225,55,25,2,seasonal_job_ended,no,yes,female,yes,yes,no,yes,no,4,0.5214286,yes,no,yes,yes,yes,1.0428572
11.8,205,23,25,1,slack_work,no,no,female,yes,yes,yes,yes,no,2,0.5186916,yes,yes,yes,yes,yes,1.0373832
6.7,270,16,28,3,slack_work,no,yes,female,yes,yes,no,yes,no,10,0.5013334,no,yes,no,no,no,0.0
4.5,167,42,28,2,other,no,no,female,yes,no,no,no,no,7,0.4222222,no,no,no,no,no,0.0
6.9,188,94,20,1,other,no,no,female,yes,no,yes,yes,no,9,0.4930556,no,no,yes,yes,yes,0.9861112
11.8,225,55,23,9,slack_work,no,no,female,yes,no,yes,yes,no,5,0.3216885,yes,yes,yes,yes,yes,0.643377
15.0,223,55,30,4,slack_work,no,no,female,yes,no,yes,yes,no,3,0.3719807,yes,yes,yes,yes,yes,0.7439614
14.4,194,55,24,8,slack_work,no,no,female,yes,no,yes,yes,no,1,0.2765685,yes,yes,yes,yes,yes,0.553137
7.0,143,42,28,7,position_abolished,no,no,female,yes,no,no,no,no,3,0.565445,yes,yes,no,no,no,0.0
