stateur,statemb,state,age,tenure,joblost,nwhite,school12,sex,bluecol,smsa,married,dkids,dykids,yrdispl,rr,head,ui,portfolio,derivatives,insurance,Sharpe
5.7,106,46,44,1,slack_work,yes,no,female,yes,no,no,no,no,2,0.2956298,no,no,no,no,no,0.0
11.1,120,63,41,1,slack_work,yes,yes,female,yes,yes,yes,yes,no,3,0.4350877,no,no,no,no,no,0.0
7.7,147,74,54,1,slack_work,no,no,female,yes,yes,yes,yes,yes,1,0.5206897,no,yes,yes,yes,yes,1.0413794
5.7,106,46,56,21,other,no,no,female,yes,no,yes,yes,no,1,0.3522388,yes,yes,no,no,no,0.0
9.0,156,14,56,8,slack_work,no,yes,female,yes,yes,yes,yes,no,1,0.5,no,yes,no,no,no,0.0
7.5,210,93,45,1,slack_work,yes,no,female,yes,yes,yes,yes,no,10,0.3947369,no,yes,no,no,no,0.0
5.6,194,84,43,5,other,no,no,female,yes,yes,no,no,no,3,0.5552486,yes,yes,no,no,no,0.0
7.2,170,21,45,11,other,no,no,female,yes,no,yes,yes,yes,3,0.5,yes,yes,yes,yes,yes,1.0
9.1,161,33,53,3,position_abolished,no,yes,female,yes,yes,no,no,no,3,0.4790997,yes,yes,no,no,no,0.0
4.1,236,56,50,1,other,no,no,female,yes,yes,yes,yes,no,9,0.5,yes,yes,no,no,no,0.0
9.9,197,34,52,1,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.4877193,yes,yes,yes,yes,yes,0.9754386
5.7,106,46,44,6,other,no,yes,female,yes,yes,no,yes,yes,2,0.5324074,yes,yes,yes,yes,yes,1.0648148
6.0,198,41,56,5,slack_work,no,no,female,yes,yes,yes,yes,no,4,0.5,no,yes,no,no,no,0.0
7.4,168,33,43,1,slack_work,no,no,female,yes,no,yes,yes,no,6,0.4798206,yes,yes,no,no,no,0.0
7.3,210,74,44,5,position_abolished,no,no,female,yes,yes,yes,yes,no,7,0.4197802,yes,yes,yes,yes,yes,0.8395604
4.2,140,45,43,1,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.3487032,no,no,no,no,no,0.0
6.7,258,15,47,2,other,no,no,female,yes,no,no,no,no,9,0.6,no,yes,no,no,no,0.0
7.5,210,93,57,1,position_abolished,no,yes,female,yes,yes,no,no,no,10,0.2546012,yes,yes,no,no,no,0.0
8.9,189,74,50,7,slack_work,no,yes,female,yes,yes,yes,yes,no,5,0.2428198,no,yes,no,no,no,0.0
4.1,236,56,40,3,slack_work,yes,no,female,yes,yes,yes,yes,no,9,0.4979757,yes,yes,no,no,no,0.0
8.9,189,74,57,1,slack_work,no,no,female,yes,no,yes,yes,no,5,0.5238096,no,yes,yes,yes,yes,1.0476192
18.0,211,55,49,2,other,no,no,female,yes,no,no,yes,yes,2,0.520436,yes,yes,yes,yes,yes,1.040872
11.7,140,61,43,1,position_abolished,no,no,female,yes,no,no,yes,no,2,0.4660494,no,yes,yes,yes,yes,0.9320988
10.9,191,72,47,1,other,no,no,female,yes,yes,yes,yes,no,7,0.5220126,yes,yes,yes,yes,yes,1.0440252
6.6,291,22,54,2,slack_work,no,yes,female,yes,yes,yes,yes,no,10,0.6005747,yes,yes,yes,yes,yes,1.2011494
6.1,125,43,49,15,other,no,no,female,yes,yes,yes,yes,no,5,0.2847222,yes,yes,yes,yes,yes,0.5694444
7.2,166,93,48,2,slack_work,no,no,female,yes,yes,yes,yes,no,4,0.3688889,yes,yes,no,no,no,0.0
6.4,197,87,43,10,slack_work,no,yes,female,yes,no,yes,yes,yes,6,0.5,yes,yes,yes,yes,yes,1.0
9.4,197,92,56,7,other,no,no,female,yes,yes,yes,yes,no,3,0.4636364,yes,yes,yes,yes,yes,0.9272728
5.9,200,59,47,1,other,no,no,female,yes,yes,yes,yes,yes,9,0.4978355,no,yes,yes,yes,yes,0.995671
12.0,205,72,60,11,slack_work,no,no,female,yes,yes,yes,yes,no,6,0.4092827,yes,yes,yes,yes,yes,0.8185654
9.4,147,31,54,1,slack_work,no,no,female,yes,yes,no,yes,yes,3,0.4974093,yes,yes,yes,yes,yes,0.9948186
9.1,214,23,43,2,slack_work,no,no,female,yes,yes,yes,yes,no,3,0.5180723,yes,yes,yes,yes,yes,1.0361446
8.5,125,21,43,1,other,yes,no,female,yes,yes,no,no,no,1,0.5,yes,yes,no,no,no,0.0
5.7,238,92,54,1,slack_work,no,no,female,yes,yes,no,no,no,8,0.65,no,no,no,no,no,0.0
9.4,136,93,59,4,slack_work,no,no,female,yes,yes,yes,yes,yes,1,0.4193548,yes,yes,yes,yes,yes,0.8387096
7.3,196,35,49,19,position_abolished,no,no,female,yes,no,no,no,no,3,0.4983923,yes,no,no,no,no,0.0
7.1,206,33,58,10,slack_work,no,no,female,yes,yes,no,no,no,10,0.4578652,no,yes,no,no,no,0.0
8.8,197,34,40,2,slack_work,no,no,female,yes,yes,yes,yes,no,5,0.3930753,yes,no,yes,yes,yes,0.7861506
7.2,166,93,43,7,other,yes,yes,female,yes,yes,yes,yes,yes,4,0.3942857,yes,yes,yes,yes,yes,0.7885714
4.0,210,47,51,8,slack_work,no,no,female,yes,yes,yes,yes,no,8,0.4193548,yes,no,no,no,no,0.0
6.3,130,43,41,7,position_abolished,no,no,female,yes,yes,yes,yes,no,6,0.4006515,no,no,yes,yes,yes,0.801303
6.5,180,21,51,1,other,no,no,female,yes,yes,yes,yes,yes,4,0.5,yes,yes,yes,yes,yes,1.0
11.4,158,92,47,20,other,no,no,female,yes,yes,no,no,no,1,0.4102564,yes,yes,no,no,no,0.0
9.2,95,86,43,1,other,no,yes,female,yes,yes,no,no,no,1,0.1899642,yes,no,no,no,no,0.0
5.7,238,92,45,8,position_abolished,no,no,female,yes,yes,yes,yes,no,8,0.3421488,no,no,yes,yes,yes,0.6842976
9.2,95,86,37,2,slack_work,no,no,male,yes,no,yes,yes,no,1,0.1462069,yes,yes,yes,yes,yes,0.2924138
4.6,208,87,45,3,other,no,no,female,yes,yes,yes,yes,yes,8,0.5,yes,no,yes,yes,yes,1.0
9.0,161,33,41,15,other,no,no,male,yes,yes,no,no,no,4,0.2927273,yes,yes,no,no,no,0.0
6.3,150,59,45,1,other,no,no,female,yes,yes,yes,yes,no,3,0.5,no,no,no,no,no,0.0
4.1,258,22,35,3,slack_work,yes,no,female,yes,yes,yes,yes,yes,8,0.5986842,no,no,yes,yes,yes,1.1973684
3.7,234,16,44,1,other,no,no,female,yes,yes,yes,yes,yes,8,0.5014409,yes,no,yes,yes,yes,1.0028818
5.4,125,21,47,16,other,no,no,male,yes,no,yes,no,no,2,0.3729282,yes,no,no,no,no,0.0
7.7,213,84,48,5,slack_work,no,no,female,yes,yes,yes,yes,yes,6,0.5923753,yes,yes,yes,yes,yes,1.1847506
5.8,198,54,24,3,other,yes,yes,male,yes,yes,no,no,no,10,0.5210084,no,yes,no,no,no,0.0
5.5,202,88,59,1,slack_work,yes,no,female,yes,yes,no,no,no,10,0.5238096,yes,no,no,no,no,0.0
10.0,136,71,32,2,slack_work,no,no,male,yes,no,yes,yes,yes,1,0.4537314,yes,yes,yes,yes,yes,0.9074628
3.9,140,45,57,3,other,no,no,female,yes,no,yes,yes,no,7,0.5022026,yes,no,yes,yes,yes,1.0044052
12.0,205,72,21,1,slack_work,no,no,male,yes,yes,no,yes,no,6,0.3415493,no,no,yes,yes,yes,0.6830986
6.5,180,21,56,5,other,no,yes,female,yes,yes,no,no,no,4,0.45,yes,yes,no,no,no,0.0
8.8,197,34,33,2,slack_work,no,no,male,yes,yes,yes,yes,yes,5,0.4883721,yes,yes,yes,yes,yes,0.9767442
5.7,160,43,52,4,other,yes,yes,female,yes,yes,yes,yes,yes,9,0.5854923,no,yes,yes,yes,yes,1.1709846
4.6,205,52,36,7,other,no,yes,male,yes,yes,yes,yes,yes,9,0.5425101,yes,yes,yes,yes,yes,1.0850202
3.8,207,14,53,13,other,no,no,female,yes,yes,yes,yes,no,5,0.5031847,yes,no,yes,yes,yes,1.0063694
11.7,140,61,23,1,slack_work,no,no,male,yes,yes,no,yes,no,2,0.6157407,no,yes,yes,yes,yes,1.2314814
5.1,252,16,48,1,slack_work,no,no,female,yes,yes,no,no,no,9,0.2763685,no,yes,no,no,no,0.0
11.4,158,92,29,2,other,no,yes,male,yes,no,yes,yes,yes,1,0.5732899,yes,yes,yes,yes,yes,1.1465798
7.0,158,42,60,3,other,no,yes,female,yes,yes,yes,yes,no,5,0.5636364,no,yes,no,no,no,0.0
8.6,198,83,27,2,other,no,no,male,yes,no,yes,yes,yes,6,0.5182927,yes,yes,yes,yes,yes,1.0365854
9.0,192,83,58,4,position_abolished,no,no,female,yes,no,yes,yes,no,5,0.2554348,yes,no,yes,yes,yes,0.5108696
6.7,166,56,32,2,position_abolished,no,no,male,yes,no,yes,no,no,3,0.5018587,yes,yes,no,no,no,0.0
8.1,158,42,49,4,other,no,no,female,yes,no,yes,yes,no,2,0.5648148,no,yes,yes,yes,yes,1.1296296
10.8,175,92,46,1,position_abolished,no,no,male,yes,no,no,no,no,2,0.6496063,yes,yes,no,no,no,0.0
11.4,158,92,41,6,slack_work,no,no,female,yes,no,yes,yes,yes,1,0.4150943,yes,no,yes,yes,yes,0.8301886
9.7,166,93,24,2,slack_work,no,no,male,yes,yes,no,no,no,2,0.2762346,no,yes,no,no,no,0.0
6.8,232,23,42,1,slack_work,no,no,female,yes,yes,no,no,no,5,0.522449,no,yes,no,no,no,0.0
4.7,165,57,47,2,other,yes,yes,male,yes,yes,no,no,no,9,0.4133739,no,yes,no,no,no,0.0
8.4,203,74,54,1,slack_work,no,no,female,yes,yes,no,no,no,6,0.5157894,no,no,no,no,no,0.0
8.6,225,55,53,6,other,no,no,female,yes,no,yes,no,no,8,0.5185185,no,yes,no,no,no,0.0
6.5,180,21,49,29,position_abolished,no,yes,female,yes,yes,yes,yes,no,4,0.36,yes,yes,no,no,no,0.0
4.4,200,35,30,1,slack_work,no,no,male,yes,yes,no,no,no,8,0.3339731,no,no,no,no,no,0.0
4.3,129,45,48,10,slack_work,no,no,female,yes,no,yes,yes,no,3,0.3918129,yes,yes,yes,yes,yes,0.7836258
6.3,194,44,35,3,position_abolished,no,yes,male,yes,no,yes,yes,yes,5,0.3869654,yes,no,yes,yes,yes,0.7739308
5.7,140,43,60,25,other,no,no,female,yes,yes,yes,yes,no,7,0.254,yes,yes,no,no,no,0.0
3.9,167,54,36,15,other,no,no,male,yes,no,no,no,no,7,0.5189003,yes,no,no,no,no,0.0
7.1,206,33,51,3,slack_work,no,no,female,yes,yes,no,no,no,10,0.3438818,yes,no,no,no,no,0.0
6.8,181,81,41,2,slack_work,no,yes,male,yes,yes,no,no,no,7,0.3021978,yes,yes,no,no,no,0.0
8.5,176,84,45,2,slack_work,no,no,female,yes,yes,yes,yes,yes,1,0.5025641,yes,yes,yes,yes,yes,1.0051282
5.4,167,56,28,7,slack_work,yes,no,female,yes,yes,yes,yes,yes,4,0.5021276,no,yes,yes,yes,yes,1.0042552
9.7,166,93,58,2,seasonal_job_ended,no,no,female,yes,yes,no,no,no,2,0.3935185,no,no,no,no,no,0.0
11.7,140,61,48,16,slack_work,no,no,male,yes,no,no,no,no,2,0.6127167,yes,yes,no,no,no,0.0
4.3,176,54,58,3,slack_work,no,yes,female,yes,yes,yes,yes,no,9,0.4632588,yes,no,yes,yes,yes,0.9265176
7.2,170,21,35,1,other,no,no,male,yes,yes,yes,no,no,3,0.5024155,no,no,no,no,no,0.0
10.9,191,72,55,12,other,no,no,female,yes,no,yes,yes,no,7,0.5186916,no,no,no,no,no,0.0
7.3,196,35,40,1,slack_work,no,no,male,yes,yes,yes,no,no,3,0.4613636,yes,yes,no,no,no,0.0
8.5,176,84,49,1,slack_work,yes,no,female,yes,no,no,yes,no,1,0.5977011,yes,no,yes,yes,yes,1.1954022
5.8,190,81,39,16,other,no,no,male,yes,no,yes,yes,no,9,0.3505618,yes,yes,yes,yes,yes,0.7011236
5.6,190,93,59,3,slack_work,no,no,female,yes,yes,no,no,no,9,0.3918919,no,no,no,no,no,0.0
8.5,211,92,36,5,other,no,no,male,yes,yes,yes,yes,yes,5,0.2636943,yes,yes,yes,yes,yes,0.5273886
6.6,291,22,47,4,slack_work,no,no,female,yes,yes,yes,yes,no,10,0.6,no,no,yes,yes,yes,1.2
12.6,105,64,40,4,slack_work,no,no,male,yes,no,yes,yes,no,2,0.1644833,yes,yes,yes,yes,yes,0.3289666
8.2,191,41,51,9,other,no,no,female,yes,no,yes,yes,no,2,0.5,yes,yes,yes,yes,yes,1.0
3.5,156,12,34,3,position_abolished,no,no,male,yes,no,yes,yes,no,8,0.3631124,yes,no,yes,yes,yes,0.7262248
12.6,105,64,53,4,slack_work,no,no,female,yes,no,yes,yes,no,2,0.1867769,yes,yes,no,no,no,0.0
12.6,105,64,32,1,slack_work,yes,no,female,yes,no,no,yes,no,2,0.5033113,yes,yes,yes,yes,yes,1.0066226
6.6,291,22,42,1,slack_work,yes,yes,female,yes,yes,yes,yes,no,10,0.6012658,yes,no,yes,yes,yes,1.2025316
9.7,166,93,23,2,seasonal_job_ended,no,no,female,yes,no,yes,yes,yes,2,0.3938224,no,yes,yes,yes,yes,0.7876448
8.5,125,21,46,4,other,no,yes,female,yes,yes,yes,yes,yes,1,0.3564103,yes,no,yes,yes,yes,0.7128206
5.0,279,22,40,10,slack_work,yes,no,male,yes,yes,yes,yes,no,9,0.3993056,yes,yes,yes,yes,yes,0.7986112
14.6,90,64,54,6,slack_work,yes,no,female,yes,no,yes,yes,no,1,0.5,yes,yes,yes,yes,yes,1.0
5.9,206,84,48,1,other,no,yes,female,yes,yes,no,no,no,4,0.6,yes,no,no,no,no,0.0
6.0,187,33,49,1,slack_work,yes,no,female,yes,yes,no,no,no,8,0.3396226,yes,yes,no,no,no,0.0
14.6,90,64,56,26,slack_work,no,no,male,yes,no,yes,no,no,1,0.2242152,yes,yes,no,no,no,0.0
12.6,105,64,49,4,other,no,no,female,yes,no,yes,yes,yes,2,0.1674074,yes,yes,yes,yes,yes,0.3348148
5.8,245,56,36,1,slack_work,no,yes,male,yes,yes,yes,yes,no,10,0.4092827,yes,yes,yes,yes,yes,0.8185654
6.7,197,73,50,1,slack_work,no,no,female,yes,yes,yes,yes,yes,7,0.5229358,yes,no,yes,yes,yes,1.0458716
9.0,282,14,43,13,position_abolished,no,yes,male,yes,yes,yes,yes,yes,10,0.3556619,yes,no,yes,yes,yes,0.7113238
7.8,158,85,60,3,slack_work,yes,yes,female,yes,no,yes,yes,no,7,0.5,yes,yes,yes,yes,yes,1.0
6.1,163,47,27,1,other,no,no,male,yes,yes,yes,no,no,2,0.5555556,yes,no,no,no,no,0.0
8.5,176,84,46,7,slack_work,no,no,female,yes,no,yes,yes,yes,1,0.5025641,yes,yes,yes,yes,yes,1.0051282
5.4,125,21,42,8,other,no,no,male,yes,yes,yes,yes,yes,2,0.5022625,yes,yes,yes,yes,yes,1.004525
7.5,275,34,42,23,position_abolished,no,yes,female,yes,yes,yes,yes,no,9,0.5236593,yes,yes,no,no,no,0.0
6.3,149,47,55,1,slack_work,no,no,male,yes,no,yes,yes,no,1,0.318618,yes,no,yes,yes,yes,0.637236
6.3,149,47,44,3,other,no,no,female,yes,yes,no,no,no,1,0.4955224,yes,yes,no,no,no,0.0
5.7,140,43,43,5,position_abolished,no,no,male,yes,no,yes,yes,no,7,0.3489011,yes,yes,yes,yes,yes,0.6978022
7.2,166,93,51,2,slack_work,no,no,female,yes,yes,yes,yes,yes,4,0.3928571,no,yes,yes,yes,yes,0.7857142
14.6,90,64,28,3,other,no,no,male,yes,no,no,yes,no,1,0.3144654,no,yes,yes,yes,yes,0.6289308
6.1,163,47,56,8,slack_work,no,no,female,yes,no,yes,yes,yes,2,0.4356436,yes,yes,yes,yes,yes,0.8712872
6.3,149,47,25,2,slack_work,no,no,male,yes,yes,no,no,no,1,0.4955224,no,yes,no,no,no,0.0
6.3,149,47,46,4,slack_work,no,yes,female,yes,yes,no,yes,no,1,0.3961814,yes,yes,yes,yes,yes,0.7923628
6.1,163,47,22,2,slack_work,no,yes,male,yes,no,yes,no,no,2,0.5529801,yes,yes,no,no,no,0.0
5.4,280,23,51,20,slack_work,no,no,female,yes,yes,yes,yes,no,9,0.5182186,yes,yes,yes,yes,yes,1.0364372
6.1,163,47,27,2,other,no,no,male,yes,no,yes,yes,yes,2,0.5518519,yes,yes,yes,yes,yes,1.1037038
10.8,175,92,40,1,slack_work,no,no,female,yes,yes,yes,yes,yes,2,0.6517413,yes,yes,yes,yes,yes,1.3034826
8.2,197,34,32,3,other,yes,no,male,yes,yes,no,no,no,6,0.4389671,yes,no,no,no,no,0.0
8.6,145,64,46,4,slack_work,yes,no,female,yes,no,no,no,no,10,0.5,no,yes,no,no,no,0.0
6.0,247,92,35,6,other,no,yes,male,yes,no,no,no,no,10,0.4113924,yes,yes,no,no,no,0.0
11.5,205,72,50,18,other,no,no,female,yes,yes,yes,yes,no,4,0.41,yes,yes,no,no,no,0.0
7.3,220,71,32,2,slack_work,yes,yes,male,yes,no,yes,yes,yes,10,0.5,yes,yes,yes,yes,yes,1.0
5.7,203,22,57,1,slack_work,yes,no,female,yes,yes,no,yes,no,4,0.6,no,no,yes,yes,yes,1.2
9.0,197,73,26,2,slack_work,no,no,female,yes,yes,yes,no,no,2,0.5185185,no,yes,no,no,no,0.0
7.7,204,71,40,1,other,no,no,female,yes,no,yes,yes,no,7,0.4945055,yes,yes,no,no,no,0.0
7.2,168,12,34,2,slack_work,no,no,male,yes,yes,yes,no,no,10,0.1683544,yes,yes,no,no,no,0.0
7.7,147,74,57,2,slack_work,no,yes,female,yes,yes,no,no,no,1,0.5197133,no,yes,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
4.6,176,73,46,12,other,no,no,female,yes,yes,yes,yes,no,1,0.3783784,yes,no,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
5.4,280,23,39,5,slack_work,no,no,male,yes,yes,yes,yes,yes,9,0.5197569,yes,no,yes,yes,yes,1.0395138
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
5.6,190,93,43,3,other,no,no,female,yes,yes,yes,no,no,9,0.3939394,no,no,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
6.3,149,47,23,1,slack_work,no,yes,male,yes,no,yes,no,no,1,0.4955224,yes,yes,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
8.1,171,81,44,23,position_abolished,no,no,male,yes,no,yes,no,no,5,0.2140127,yes,yes,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
9.0,197,73,32,3,slack_work,no,no,male,yes,no,no,no,no,2,0.4930556,yes,yes,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
7.2,166,93,26,2,other,no,no,male,yes,yes,no,no,no,4,0.3928571,no,no,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
6.6,130,62,39,18,other,yes,no,female,yes,yes,yes,yes,no,6,0.4190476,no,yes,yes,yes,yes,0.8380952
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
10.3,190,23,26,3,other,no,no,male,yes,no,yes,no,no,1,0.5194175,yes,yes,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
6.0,187,33,21,1,slack_work,yes,no,male,yes,yes,no,no,no,8,0.4879725,yes,yes,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
6.4,182,13,42,4,slack_work,no,no,male,yes,no,yes,no,no,10,0.4044944,no,no,no,no,no,0.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
6.5,180,21,43,3,slack_work,yes,yes,male,yes,yes,yes,yes,no,4,0.5,yes,yes,yes,yes,yes,1.0
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
9.7,166,93,38,8,slack_work,no,no,male,yes,yes,yes,yes,no,2,0.3935185,yes,no,yes,yes,yes,0.787037
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
11.5,205,72,23,1,slack_work,no,no,male,yes,yes,yes,yes,yes,4,0.5205882,yes,yes,yes,yes,yes,1.0411764
4.6,176,73,45,2,other,no,no,male,yes,no,yes,no,no,1,0.5025641,yes,no,no,no,no,0.0
3.5,156,12,22,1,slack_work,no,no,male,yes,yes,no,no,no,8,0.3631124,yes,no,no,no,no,0.0
